kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Stevns Kommune;22727;57470;569;2018;6.4;6.7;Mogens Nielsen;Annette Mortensen;1;Lokal;V;1;1
Sorø Kommune;29669;62816;470;2018;6.7;6.9;Gert Jørgensen;Gert Jørgensen;0;C;C;0;0
Lejre Kommune;27544;66229;410;2018;7.3;7.3;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Lolland Kommune;41982;71434;1312;2018;5.7;6;Holger Rasmussen;Holger Rasmussen;0;S;S;0;0
Næstved Kommune;82938;66375;1265;2018;6.8;6.8;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Guldborgsund Kommune;61219;65721;366;2018;6.5;6.6;John Brædder;John Brædder;0;Lokal;Lokal;0;0
Vordingborg Kommune;46087;63811;614;2018;6.4;6.7;Michael Larsen;Mikael Smed;1;V;S;1;1
Middelfart Kommune;38210;62856;302;2018;7.2;7.2;Johannes Jensen;Johannes Jensen;0;S;S;0;0
Assens Kommune;41328;64838;336;2018;7;6.7;Søren Andersen;Søren Andersen;0;V;V;0;0
Faaborg-Midtfyn Kommune;51536;65149;399;2018;7.1;6.9;Christian Thygesen;Hans Stavnsager;1;V;S;1;1
Kerteminde Kommune;23756;68491;340;2018;7.2;7;Hans Luunbjerg;Kasper Olesen;1;V;S;1;1
Nyborg Kommune;32032;59216;574;2018;7;6.7;Kenneth Muhs;Kenneth Muhs;0;V;V;0;0
Odense Kommune;202348;62856;472;2018;7.1;6.9;Peter Juel;Peter Juel;0;S;S;0;0
Svendborg Kommune;58698;71508;456;2018;6.9;7.1;Lars Hornemann;Bo Hansen;1;V;S;1;1
Nordfyns Kommune;29516;67645;516;2018;7;6.8;Jan Petersen;Jan Petersen;0;S;S;0;0
Langeland Kommune;12641;96887;300;2018;5.9;6.3;Bjarne Nielsen;Tonni Hansen;1;V;F;1;1
Ærø Kommune;6178;63500;440;2018;7.1;7;Jørgen Jørgensen;Ole Petersen;1;S;S;0;0
Haderslev Kommune;55963;64031;386;2018;6.9;6.9;Hans Geil;Hans Geil;0;V;V;0;0
Billund Kommune;26482;69247;383;2018;7.1;6.7;Ib Kristensen;Ib Kristensen;0;V;V;0;0
Sønderborg Kommune;74650;68067;358;2018;6.8;6.8;Erik Lauritzen;Erik Lauritzen;0;S;S;0;0
Tønder Kommune;37777;65573;266;2018;6.3;6.4;Henrik Frandsen;Henrik Frandsen;0;V;V;0;0
Esbjerg Kommune;116032;64247;1230;2018;7;6.9;Johnny Søtrup;Jesper Frost;1;V;V;0;0
Fanø Kommune;3401;69491;380;2018;6.3;6.7;Erik Nørreby;Sofie Valbjørn;1;V;Å;1;1
Varde Kommune;50301;68585;260;2018;6.7;6.7;Erik Buhl;Erik Buhl;0;V;V;0;0
Vejen Kommune;42844;63511;315;2018;6.8;6.7;Egon Fræhr;Egon Fræhr;0;V;V;0;0
Aabenraa Kommune;59089;65813;288;2018;6.8;6.6;Thomas Andresen;Thomas Andresen;0;V;V;0;0
Fredericia Kommune;51326;64293;999;2018;6.5;6.5;Jacob Bjerregaard ;Jacob Bjerregaard;0;S;S;0;0
Kolding Kommune;92515;59452;427;2018;7.5;7.1;Jørn Pedersen;Jørn Pedersen;0;V;V;0;0
Vejle Kommune;114140;63222;415;2018;7.1;7;Jens Christensen;Jens Christensen;0;V;V;0;0
Horsens Kommune;89598;61606;581;2018;7;6.8;Peter Sørensen;Peter Sørensen;0;S;S;0;0
Herning Kommune;88733;61048;331;2018;7.3;7;Lars Krarup;Lars Krarup;0;V;V;0;0
Holstebro Kommune;58418;58656;371;2018;7.1;7;HC Østerby;HC Østerby;0;S;S;0;0
Lemvig Kommune;20133;72629;238;2018;7.1;7;Erik Flyvholm;Erik Flyvholm;0;V;V;0;0
Struer Kommune;21270;68639;296;2018;7.2;7;Mads Jakobsen;Niels Lynghøj;1;V;S;1;1
Syddjurs Kommune;42468;68819;366;2018;6.9;6.9;Claus Wistoft ;Ole Bollesen;1;V;S;1;1
Norddjurs Kommune;38197;74363;262;2018;6.3;6.3;Jan Petersen;Jan Petersen;0;S;S;0;0
Favrskov Kommune;48271;60181;474;2018;7.3;7.1;Niels Borring;Niels Borring;0;S;S;0;0
Odder Kommune;22626;63149;290;2018;7.4;7.2;Uffe Jensen;Uffe Jensen;0;V;V;0;0
Randers Kommune;98265;62758;443;2018;6.7;6.6;Claus Jensen;Torben Hansen;1;V;S;1;1
Silkeborg Kommune;92024;59463;397;2018;7.2;7.2;Steen Vindum;Steen Vindum;0;V;V;0;0
Samsø Kommune;3720;83258;198;2018;6.4;6.3;Marcel Meijer;Marcel Meijer;0;S;S;0;0
Skanderborg Kommune;61158;64734;435;2018;7.7;7.4;Jørgen Gaarde;Jørgen Gaarde;0;S;S;0;0
Aarhus Kommune;340421;64747;589;2018;7.2;7.3;Jacob Bundsgaard;Jacob Bundsgaard;0;S;S;0;0
Ikast-Brande Kommune;41191;66020;378;2018;6.8;6.6;Carsten kissmeyer;Ib Lauritzen;1;V;V;0;0
Ringkøbing-Skjern Kommune;57005;62699;235;2018;6.7;6.6;Iver Enevoldsen;Hans Østergaard;1;V;V;0;0
Hedensted Kommune;46616;65203;257;2018;7;6.9;Kirsten Terkilsen;Kasper Glyngø;1;V;S;1;1
Skive Kommune;46599;66148;283;2018;7.3;6.9;Peder Kirkegaard;Peder Kirkegaard;0;V;V;0;0
Viborg Kommune;96883;60820;383;2018;7.1;7;Torsten Nielsen;Ulrik Wilbek;1;K;V;1;0
Morsø Kommune;20514;68923;408;2018;6.1;6.6;Hans Bertelsen;Hans Bertelsen;0;V;V;0;0
Thisted Kommune;43716;66638;277;2018;6.5;6.7;Lene Jensen;Ulla Vestergaard;1;C;S;1;1
Brønderslev Kommune;36289;60811;1011;2018;7.5;7.1;Mikael Klitgaard;Mikael Klitgaard;0;V;V;0;0
Frederikshavn Kommune;60140;66149;1063;2018;6.7;6.6;Birgit Hansen;Birgit Hansen;0;S;S;0;0
Vesthimmerlands Kommune;37277;64917;256;2018;6.6;6.6;Knud Kristensen ;Per Laursen;1;K;V;1;0
Læsø Kommune;1807;92435;150;2018;6;6.1;Torben Johansen;Karsten Nielsen;1;V;O;1;0
Rebild Kommune;29827;62887;394;2018;7.5;7.3;Leon Sebbelin;Leon Sebbelin;0;B;B;0;0
Mariagerfjord Kommune;42125;68524;452;2018;7.2;7;Mogens Jespersen;Mogens Jespersen;0;V;V;0;0
Jammerbugt Kommune;38638;63260;347;2018;6.7;6.7;Mogens Gade;Mogens Gade;0;V;V;0;0
Aalborg Kommune;213558;68294;382;2018;7.3;7.2;Thomas Larsen;Thomas Larsen;0;S;S;0;0
Hjørring Kommune;65257;63961;820;2018;6.7;6.6;Arne Boelt;Arne Boelt;0;S;S;0;0
Københavns Kommune;623404;66679;649;2019;6.9;7.1;Frank Jensen;Frank Jensen;0;S;S;0;0
Frederiksberg Kommune;103960;64146;716;2019;7.5;7.5;Jørgen Glenthøj;Jørgen Glenthøj;0;C;C;0;0
Ballerup Kommune;48458;81103;990;2019;7;7;Jesper Würtzen;Jesper Würtzen;0;S;S;0;0
Brøndby Kommune;35397;82036;791;2019;5.8;6.1;Kent Max Magelund;Kent Max Magelund;0;S;S;0;0
Dragør Kommune;14270;60141;645;2019;7.8;7.8;Eik Dahl Bidstrup;Eik Dahl Bidstrup;0;V;V;0;0
Gentofte Kommune;75176;58904;629;2019;8.2;8.1;Hans Toft;Hans Toft;0;C;C;0;0
Gladsaxe Kommune;69681;71758;610;2019;7.5;7.4;Trine Græse;Trine Græse;0;S;S;0;0
Glostrup Kommune;22615;72725;2043;2019;6.5;6.6;John Engelhardt;John Engelhardt;0;V;V;0;0
Herlev Kommune;28786;74488;687;2019;6.7;6.7;Thomas Gyldal Petersen;Thomas Gyldal Petersen;0;S;S;0;0
Albertslund Kommune;27877;87933;598;2019;6.4;6.5;Steen Christiansen;Steen Christiansen;0;S;S;0;0
Hvidovre Kommune;53416;76004;629;2019;6.7;6.8;Helle Adelborg;Helle Adelborg;0;S;S;0;0
Høje-Taastrup Kommune;50686;77114;454;2019;6.5;6.5;Michael Ziegler;Michael Ziegler;0;C;C;0;0
Lyngby-Taarbæk Kommune;55790;64546;675;2019;8.1;8;Sofia Osmani;Sofia Osmani;0;C;C;0;0
Rødovre Kommune;40052;78759;558;2019;6.8;6.9;Erik Nielsen;Erik Nielsen;0;S;S;0;0
Ishøj Kommune;22946;85951;416;2019;5.7;5.9;Ole Bjørstorp;Ole Bjørstorp;0;S;S;0;0
Tårnby Kommune;42984;68575;603;2019;6.6;6.8;Henrik Zimino;Allan Andersen;1;S;S;0;0
Vallensbæk Kommune;16654;68371;700;2019;7.2;6.8;Henrik Rasmussen;Henrik Rasmussen;0;C;C;0;0
Furesø Kommune;41069;70613;613;2019;7.8;7.8;Ole Christensen;Ole Christensen;0;S;S;0;0
Allerød Kommune;25646;70915;771;2019;8.1;8;Jørgen Johansen;Karsten Längerich;1;C;V;1;0
Fredensborg Kommune;40819;70766;619;2019;7.5;7.4;Thomas Pedersen;Thomas Pedersen;0;S;S;0;0
Helsingør Kommune;62567;74926;836;2019;7;7.3;Benedikte Kiær;Benedikte Kiær;0;C;C;0;0
Hillerød Kommune;50998;74812;632;2019;7.3;7.5;Dorte Meldgaard;Kirsten Jensen;1;C;S;1;1
Hørsholm Kommune;25007;61708;620;2019;7.9;7.9;Morten Slotved;Morten Slotved;0;C;C;0;0
Rudersdal Kommune;56509;61088;538;2019;8.1;8.1;Jens Ive;Jens Ive;0;V;V;0;0
Egedal Kommune;43335;68453;1082;2019;7.3;7.3;Karsten Søndergaard;Karsten Søndergaard;0;V;V;0;0
Frederikssund Kommune;45332;69504;667;2019;6.8;7;John Andersen;John Andersen ;0;V;V;0;0
Halsnæs Kommune;31271;85919;450;2019;6.3;6.6;Steen Hasselriis;Steffen Jensen;1;V;S;1;1
Gribskov Kommune;41195;69263;435;2019;6.8;6.8;Kim Valentin ;Anders Frost;1;V;Lokal;1;1
Bornholms Kommune;39572;66327;349;2019;6.4;6.4;Winni Grosbøll;Winni Grosbøll;0;S;S;0;0
Greve Kommune;50267;66126;580;2019;6.9;7.2;Pernille Beckmann;Pernille Beckmann;0;V;V;0;0
Køge Kommune;60675;72296;442;2019;7.1;7;Flemming Christensen;Maria Stærke;1;C;S;1;1
Roskilde Kommune;87577;73651;482;2019;7.5;7.5;Joy Mogensen;Joy Mogensen;0;S;S;0;0
Solrød Kommune;23065;62455;686;2019;7.6;7.5;Niels Hørup;Niels Hørup;0;V;V;0;0
Odsherred Kommune;33122;78705;544;2019;6.2;6.3;Thomas Adelskov;Thomas Adelskov;0;S;S;0;0
Holbæk Kommune;71297;59793;1147;2019;6.4;6.6;Søren Kjærsgaard;Christina Hansen;1;V;S;1;1
Faxe Kommune;36513;63146;834;2019;6.4;6.7;Erik Buhl;Erik Buhl;0;V;V;0;0
Kalundborg Kommune;48681;73322;267;2019;6;6.3;Martin Damm;Martin Damm;0;V;V;0;0
Ringsted Kommune;34725;65449;335;2019;6.5;6.6;Henrik Hvidesten;Henrik Hvidesten;0;V;V;0;0
Slagelse Kommune;79073;69590;343;2019;6.6;6.5;Sten Knuth;John Dyrby;1;V;S;1;1
Stevns Kommune;22782;57326;551;2019;6.8;6.9;Mogens Nielsen;Annette Mortensen;1;Lokal;V;1;1
Sorø Kommune;29834;66476;464;2019;6.8;6.8;Gert Jørgensen;Gert Jørgensen;0;C;C;0;0
Lejre Kommune;27775;66926;407;2019;7.3;7.4;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Lolland Kommune;41615;75285;1260;2019;5.9;5.9;Holger Rasmussen;Holger Rasmussen;0;S;S;0;0
Næstved Kommune;82991;63503;1277;2019;6.7;6.8;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Guldborgsund Kommune;60930;67266;357;2019;6.3;6.4;John Brædder;John Brædder;0;Lokal;Lokal;0;0
Vordingborg Kommune;45816;67347;590;2019;5.9;6.4;Michael Larsen;Mikael Smed;1;V;S;1;1
Middelfart Kommune;38553;64849;299;2019;6.9;7;Johannes Jensen;Johannes Jensen;0;S;S;0;0
Assens Kommune;41212;65062;328;2019;6.8;6.7;Søren Andersen;Søren Andersen;0;V;V;0;0
Faaborg-Midtfyn Kommune;51809;65106;402;2019;6.6;6.4;Christian Thygesen;Hans Stavnsager;1;V;S;1;1
Kerteminde Kommune;23773;69186;334;2019;7.2;6.9;Hans Luunbjerg;Kasper Olesen;1;V;S;1;1
Nyborg Kommune;32042;61396;572;2019;6.3;6.5;Kenneth Muhs;Kenneth Muhs;0;V;V;0;0
Odense Kommune;204182;63308;466;2019;6.9;6.9;Peter Juel;Peter Juel;0;S;S;0;0
Svendborg Kommune;58599;67780;454;2019;7.1;7;Lars Hornemann;Bo Hansen;1;V;S;1;1
Nordfyns Kommune;29693;68640;502;2019;6.7;6.7;Jan Petersen;Jan Petersen;0;S;S;0;0
Langeland Kommune;12560;92389;285;2019;6;6.1;Bjarne Nielsen;Tonni Hansen;1;V;F;1;1
Ærø Kommune;6058;63595;436;2019;7.5;7.1;Jørgen Jørgensen;Ole Petersen;1;S;S;0;0
Haderslev Kommune;55857;64027;379;2019;6.6;6.7;Hans Geil;Hans Geil;0;V;V;0;0
Billund Kommune;26629;67751;380;2019;7;6.8;Ib Kristensen;Ib Kristensen;0;V;V;0;0
Sønderborg Kommune;74561;64524;342;2019;7;6.8;Erik Lauritzen;Erik Lauritzen;0;S;S;0;0
Tønder Kommune;37587;63930;253;2019;6.4;6.4;Henrik Frandsen;Henrik Frandsen;0;V;V;0;0
Esbjerg Kommune;115652;66416;1218;2019;7.1;7;Johnny Søtrup;Jesper Frost;1;V;V;0;0
Fanø Kommune;3404;68991;368;2019;8.3;7.5;Erik Nørreby;Sofie Valbjørn;1;V;Å;1;1
Varde Kommune;50129;66978;254;2019;7.1;6.8;Erik Buhl;Erik Buhl;0;V;V;0;0
Vejen Kommune;42863;62294;309;2019;7;6.7;Egon Fræhr;Egon Fræhr;0;V;V;0;0
Aabenraa Kommune;59035;64825;283;2019;6.7;6.5;Thomas Andresen;Thomas Andresen;0;V;V;0;0
Fredericia Kommune;51427;67463;987;2019;6.7;6.8;Jacob Bjerregaard ;Jacob Bjerregaard;0;S;S;0;0
Kolding Kommune;92893;61621;423;2019;7.4;7.1;Jørn Pedersen;Jørn Pedersen;0;V;V;0;0
Vejle Kommune;114830;64442;415;2019;7.2;7.1;Jens Christensen;Jens Christensen;0;V;V;0;0
Horsens Kommune;90370;61871;607;2019;7;6.8;Peter Sørensen;Peter Sørensen;0;S;S;0;0
Herning Kommune;88917;62527;328;2019;7.2;6.9;Lars Krarup;Lars Krarup;0;V;V;0;0
Holstebro Kommune;58504;59828;346;2019;7.4;7.2;HC Østerby;HC Østerby;0;S;S;0;0
Lemvig Kommune;19998;72285;234;2019;7;6.9;Erik Flyvholm;Erik Flyvholm;0;V;V;0;0
Struer Kommune;21143;75956;290;2019;7.1;6.9;Mads Jakobsen;Niels Lynghøj;1;V;S;1;1
Syddjurs Kommune;42768;68149;361;2019;6.9;6.8;Claus Wistoft ;Ole Bollesen;1;V;S;1;1
Norddjurs Kommune;37680;73182;259;2019;6.3;6.2;Jan Petersen;Jan Petersen;0;S;S;0;0
Favrskov Kommune;48374;61567;473;2019;7.2;7.2;Niels Borring;Niels Borring;0;S;S;0;0
Odder Kommune;22675;59924;289;2019;6.9;7;Uffe Jensen;Uffe Jensen;0;V;V;0;0
Randers Kommune;97909;63027;438;2019;6.7;6.5;Claus Jensen;Torben Hansen;1;V;S;1;1
Silkeborg Kommune;93054;61247;387;2019;7.3;7.2;Steen Vindum;Steen Vindum;0;V;V;0;0
Samsø Kommune;3684;81126;200;2019;5.8;6;Marcel Meijer;Marcel Meijer;0;S;S;0;0
Skanderborg Kommune;61974;63629;434;2019;7.2;7.3;Jørgen Gaarde;Jørgen Gaarde;0;S;S;0;0
Aarhus Kommune;345332;64408;592;2019;7.3;7.2;Jacob Bundsgaard;Jacob Bundsgaard;0;S;S;0;0
Ikast-Brande Kommune;41282;62285;373;2019;6.4;6.4;Carsten kissmeyer;Ib Lauritzen;1;V;V;0;0
Ringkøbing-Skjern Kommune;56930;63412;227;2019;6.5;6.5;Iver Enevoldsen;Hans Østergaard;1;V;V;0;0
Hedensted Kommune;46747;64335;251;2019;7;6.9;Kirsten Terkilsen;Kasper Glyngø;1;V;S;1;1
Skive Kommune;46224;68461;296;2019;6.7;6.7;Peder Kirkegaard;Peder Kirkegaard;0;V;V;0;0
Viborg Kommune;97113;61562;373;2019;7.1;7.1;Torsten Nielsen;Ulrik Wilbek;1;K;V;1;0
Morsø Kommune;20403;69409;394;2019;7.1;6.6;Hans Bertelsen;Hans Bertelsen;0;V;V;0;0
Thisted Kommune;43660;65831;270;2019;6.9;6.7;Lene Jensen;Ulla Vestergaard;1;C;S;1;1
Brønderslev Kommune;36370;61218;998;2019;7;7;Mikael Klitgaard;Mikael Klitgaard;0;V;V;0;0
Frederikshavn Kommune;59987;66598;1034;2019;6.7;6.6;Birgit Hansen;Birgit Hansen;0;S;S;0;0
Vesthimmerlands Kommune;37121;67926;263;2019;6.5;6.5;Knud Kristensen ;Per Laursen;1;K;V;1;0
Læsø Kommune;1806;100530;141;2019;6.9;6.8;Torben Johansen;Karsten Nielsen;1;V;O;1;0
Rebild Kommune;29916;62699;394;2019;7.3;7.2;Leon Sebbelin;Leon Sebbelin;0;B;B;0;0
Mariagerfjord Kommune;42055;67653;440;2019;7;6.8;Mogens Jespersen;Mogens Jespersen;0;V;V;0;0
Jammerbugt Kommune;38460;68966;340;2019;7;6.7;Mogens Gade;Mogens Gade;0;V;V;0;0
Aalborg Kommune;215312;69837;378;2019;7.1;7;Thomas Larsen;Thomas Larsen;0;S;S;0;0
Hjørring Kommune;64665;61960;804;2019;6.7;6.7;Arne Boelt;Arne Boelt;0;S;S;0;0
