kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Middelfart Kommune;37913;59883;329;2016;7;7;Johannes Jensen;Johannes Jensen;0;S;S;0;0
Assens Kommune;41224;63227;299;2016;7;6.8;Søren Andersen;Søren Andersen;0;V;V;0;0
Faaborg-Midtfyn Kommune;51236;61068;370;2016;6.7;6.6;Christian Thygesen;Hans Stavnsager;1;V;S;1;1
Kerteminde Kommune;23880;67230;408;2016;6.7;6.7;Hans Luunbjerg;Kasper Olesen;1;V;S;1;1
Nyborg Kommune;31886;57545;614;2016;7.1;6.7;Kenneth Muhs;Kenneth Muhs;0;V;V;0;0
Odense Kommune;198972;57610;456;2016;6.9;6.9;Peter Juel;Peter Juel;0;S;S;0;0
Svendborg Kommune;58228;66018;465;2016;7.1;7;Lars Hornemann;Bo Hansen;1;V;S;1;1
Nordfyns Kommune;29298;64842;525;2016;6.7;6.5;Jan Petersen;Jan Petersen;0;S;S;0;0
Langeland Kommune;12547;90670;312;2016;6.8;6.5;Bjarne Nielsen;Tonni Hansen;1;V;F;1;1
Ærø Kommune;6290;61465;460;2016;7;6.6;Jørgen Jørgensen;Ole Petersen;1;S;S;0;0
Haderslev Kommune;56029;61217;486;2016;7;6.8;Hans Geil;Hans Geil;0;V;V;0;0
Billund Kommune;26434;64818;405;2016;7;6.7;Ib Kristensen;Ib Kristensen;0;V;V;0;0
Sønderborg Kommune;74737;63534;412;2016;7.1;7;Erik Lauritzen;Erik Lauritzen;0;S;S;0;0
Tønder Kommune;37904;63544;295;2016;6.5;6.6;Henrik Frandsen;Henrik Frandsen;0;V;V;0;0
Esbjerg Kommune;115748;61710;1267;2016;6.9;6.9;Johnny Søtrup;Jesper Frost;1;V;V;0;0
Fanø Kommune;3290;70175;374;2016;7.9;7.7;Erik Nørreby;Sofie Valbjørn;1;V;Å;1;1
Varde Kommune;50289;68071;343;2016;7.1;6.8;Erik Buhl;Erik Buhl;0;V;V;0;0
Vejen Kommune;42869;61977;328;2016;6.8;6.6;Egon Fræhr;Egon Fræhr;0;V;V;0;0
Aabenraa Kommune;58869;63663;303;2016;6.9;6.8;Thomas Andresen;Thomas Andresen;0;V;V;0;0
Fredericia Kommune;50689;59575;1045;2016;6.7;7;Jacob Bjerregaard ;Jacob Bjerregaard;0;S;S;0;0
Kolding Kommune;91695;58104;432;2016;7.4;7;Jørn Pedersen;Jørn Pedersen;0;V;V;0;0
Vejle Kommune;111743;59943;415;2016;6.9;7;Jens Christensen;Jens Christensen;0;V;V;0;0
Horsens Kommune;87736;60762;517;2016;6.8;6.8;Peter Sørensen;Peter Sørensen;0;S;S;0;0
Herning Kommune;87593;59118;329;2016;7.3;7;Lars Krarup;Lars Krarup;0;V;V;0;0
Holstebro Kommune;57661;54120;366;2016;7.3;7;HC Østerby;HC Østerby;0;S;S;0;0
Lemvig Kommune;20399;65762;244;2016;7;6.8;Erik Flyvholm;Erik Flyvholm;0;V;V;0;0
Struer Kommune;21474;66711;325;2016;6.9;6.7;Mads Jakobsen;Niels Lynghøj;1;V;S;1;1
Syddjurs Kommune;41889;67416;392;2016;7.1;6.9;Claus Wistoft ;Ole Bollesen;1;V;S;1;1
Norddjurs Kommune;38144;73979;274;2016;6.3;6.4;Jan Petersen;Jan Petersen;0;S;S;0;0
Favrskov Kommune;47655;57903;479;2016;7.7;7.3;Niels Borring;Niels Borring;0;S;S;0;0
Odder Kommune;22131;59092;294;2016;7;7.1;Uffe Jensen;Uffe Jensen;0;V;V;0;0
Randers Kommune;97520;59976;460;2016;6.6;6.6;Claus Jensen;Torben Hansen;1;V;S;1;1
Silkeborg Kommune;90719;56646;373;2016;7.2;7.1;Steen Vindum;Steen Vindum;0;V;V;0;0
Samsø Kommune;3710;74411;198;2016;5.4;5.9;Marcel Meijer;Marcel Meijer;0;S;S;0;0
Skanderborg Kommune;59481;60617;440;2016;7.7;7.4;Jørgen Gaarde;Jørgen Gaarde;0;S;S;0;0
Aarhus Kommune;330639;62334;578;2016;7.3;7.2;Jacob Bundsgaard;Jacob Bundsgaard;0;S;S;0;0
Ikast-Brande Kommune;40798;64977;357;2016;6.7;6.5;Carsten kissmeyer;Ib Lauritzen;1;V;V;0;0
Ringkøbing-Skjern Kommune;57139;58893;248;2016;6.9;6.6;Iver Enevoldsen;Hans Østergaard;1;V;V;0;0
Hedensted Kommune;46206;60304;267;2016;7;6.8;Kirsten Terkilsen;Kasper Glyngø;1;V;S;1;1
Skive Kommune;46639;63528;248;2016;7.1;6.9;Peder Kirkegaard;Peder Kirkegaard;0;V;V;0;0
Viborg Kommune;95776;56998;401;2016;7.1;7;Torsten Nielsen;Ulrik Wilbek;1;K;V;1;0
Morsø Kommune;20629;67657;416;2016;6.4;6.5;Hans Bertelsen;Hans Bertelsen;0;V;V;0;0
Thisted Kommune;43991;62476;278;2016;6.8;6.8;Lene Jensen;Ulla Vestergaard;1;C;S;1;1
Brønderslev Kommune;36047;59342;573;2016;7.2;6.8;Mikael Klitgaard;Mikael Klitgaard;0;V;V;0;0
Frederikshavn Kommune;60246;63640;1419;2016;6.8;6.7;Birgit Hansen;Birgit Hansen;0;S;S;0;0
Vesthimmerlands Kommune;37296;64999;237;2016;6.9;6.7;Knud Kristensen ;Per Laursen;1;K;V;1;0
Læsø Kommune;1817;81522;161;2016;6.7;6.6;Torben Johansen;Karsten Nielsen;1;V;O;1;0
Rebild Kommune;29149;61013;401;2016;7.1;7;Leon Sebbelin;Leon Sebbelin;0;B;B;0;0
