;year;kommune;perc_change;forandr;reference;faktisk_perf;forventet_perf;indbyggertal;exp;borgmesterskift;partiskift;social;newyear;perc_change_sd
220;2019;Ballerup Kommune;0,002302277;26;0;7;7;48458;81103;0;0;43;01-01-2019;1,809524976
221;2019;Brønderslev Kommune;0,013979117;50;0;7;7;36370;61218;0;0;44;01-01-2019;10,98719403
222;2019;Dragør Kommune;0,003815624;31;0;7,8;7,8;14270;60141;0;0;45;01-01-2019;2,998973199
223;2019;Egedal Kommune;0,003775755;16;0;7,3;7,3;43335;68453;0;0;46;01-01-2019;2,967637557
224;2019;Favrskov Kommune;0,0020137;27;0;7,2;7,2;48374;61567;0;0;47;01-01-2019;1,582712059
225;2019;Frederiksberg Kommune;0,000616662;21;0;7,5;7,5;103960;64146;0;0;48;01-01-2019;0,484679004
226;2019;Furesø Kommune;0,00120984;7;0;7,8;7,8;41069;70613;0;0;49;01-01-2019;0,950900704
227;2019;Gribskov Kommune;0,001472769;26;0;6,8;6,8;41195;69263;1;1;50;01-01-2019;1,157555193
228;2019;Herlev Kommune;0,006041477;20;0;6,7;6,7;28786;74488;0;0;51;01-01-2019;4,748431291
229;2019;Hjørring Kommune;0,003048219;78;0;6,7;6,7;64665;61960;0;0;52;01-01-2019;2,395814755
230;2019;Høje-Taastrup Kommune;0,002066282;10;0;6,5;6,5;50686;77114;0;0;53;01-01-2019;1,624039455
231;2019;Hørsholm Kommune;0,00212131;21;0;7,9;7,9;25007;61708;0;0;54;01-01-2019;1,667290235
232;2019;Ikast-Brande Kommune;0,001960161;29;0;6,4;6,4;41282;62285;1;0;55;01-01-2019;1,540631746
233;2019;Lolland Kommune;0,002159005;36;0;5,9;5,9;41615;75285;0;0;56;01-01-2019;1,696917512
234;2019;Nordfyns Kommune;0,002047763;11;0;6,7;6,7;29693;68640;0;0;57;01-01-2019;1,609484517
235;2019;Odense Kommune;0,003010748;93;0;6,9;6,9;204182;63308;0;0;58;01-01-2019;2,366363844
236;2019;Ringkøbing-Skjern Kommune;0,001209382;44;0;6,5;6,5;56930;63412;1;0;59;01-01-2019;0,950540316
237;2019;Roskilde Kommune;0,003480661;44;0;7,5;7,5;87577;73651;0;0;60;01-01-2019;2,735701653
238;2019;Rudersdal Kommune;0,004082094;43;0;8,1;8,1;56509;61088;0;0;61;01-01-2019;3,208411712
239;2019;Skive Kommune;0,001754121;20;0;6,7;6,7;46224;68461;0;0;62;01-01-2019;1,378690088
240;2019;Sorø Kommune;0,003406696;44;0;6,8;6,8;29834;66476;0;0;63;01-01-2019;2,677567655
241;2019;Tønder Kommune;0,001692005;17;0;6,4;6,4;37587;63930;0;0;64;01-01-2019;1,329868882
242;2019;Vesthimmerlands Kommune;0,002103143;56;0;6,5;6,5;37121;67926;1;1;65;01-01-2019;1,653011456
243;2019;Viborg Kommune;0,001238018;24;0;7,1;7,1;97113;61562;1;1;66;01-01-2019;0,97304712
244;2016;Guldborgsund Kommune;0,001316994;52;-0,1;6,4;6,5;60979;62185;0;0;60;01-01-2016;1,03512067
245;2016;Morsø Kommune;0,001968311;76;-0,1;6,4;6,5;20629;67657;0;0;61;01-01-2016;1,547037147
246;2016;Ringsted Kommune;0,001868329;133;-0,1;6,7;6,8;34031;63041;0;0;62;01-01-2016;1,468454503
247;2016;Tønder Kommune;0,003226238;96;-0,1;6,5;6,6;37904;63544;0;0;63;01-01-2016;2,535732897
248;2016;Vejle Kommune;0,005865872;46;-0,1;6,9;7;111743;59943;0;0;64;01-01-2016;4,610411325
249;2017;Allerød Kommune;0,001243205;51;-0,1;8;8,1;24942;68030;1;1;58;01-01-2017;0,977123967
250;2017;Ballerup Kommune;0,00235895;106;-0,1;7;7,1;48231;75335;0;0;59;01-01-2017;1,854068642
251;2017;Gribskov Kommune;0,003075666;104;-0,1;6,9;7;41213;66874;1;1;60;01-01-2017;2,417387291
252;2017;Halsnæs Kommune;0,001744608;70;-0,1;6,7;6,8;31162;71443;1;1;61;01-01-2017;1,371212893
253;2017;Hillerød Kommune;0,001384112;83;-0,1;7,5;7,6;50109;67650;1;1;62;01-01-2017;1,087873526
254;2017;Københavns Kommune;0,004202443;236;-0,1;6,9;7;602481;67009;0;0;63;01-01-2017;3,303002429
255;2017;Lejre Kommune;0,001783288;102;-0,1;7,2;7,3;27402;64523;0;0;64;01-01-2017;1,401614166
256;2017;Næstved Kommune;0,001914994;109;-0,1;6,7;6,8;82581;56342;0;0;65;01-01-2017;1,505131266
257;2017;Odder Kommune;0,005763689;4;-0,1;7,2;7,3;22331;59158;0;0;66;01-01-2017;4,530097823
258;2017;Roskilde Kommune;0,00187533;72;-0,1;7,5;7,6;87015;73569;0;0;67;01-01-2017;1,473956868
259;2017;Slagelse Kommune;0;0;-0,1;6,4;6,5;78828;67278;1;1;68;01-01-2017;0
260;2017;Vallensbæk Kommune;0,001318392;30;-0,1;6,9;7;15705;67352;0;0;69;01-01-2017;1,036219508
261;2018;Faxe Kommune;0,002771207;71;-0,1;6,5;6,6;36139;63934;0;0;62;01-01-2018;2,178090826
262;2018;Guldborgsund Kommune;0,001844778;72;-0,1;6,5;6,6;61219;65721;0;0;63;01-01-2018;1,449943809
263;2018;Herlev Kommune;0,005308478;78;-0,1;6,7;6,8;28572;70328;0;0;64;01-01-2018;4,172315047
264;2018;Københavns Kommune;0,004764141;285;-0,1;6,9;7;613288;69256;0;0;65;01-01-2018;3,74448111
265;2018;Køge Kommune;0,00163134;48;-0,1;7;7,1;60356;66811;1;1;66;01-01-2018;1,282187407
266;2018;Læsø Kommune;0,002465311;65;-0,1;6;6,1;1807;92435;1;1;67;01-01-2018;1,937665581
267;2018;Ringsted Kommune;0,002738433;171;-0,1;6,9;7;34473;67553;0;0;68;01-01-2018;2,152331771
268;2018;Vallensbæk Kommune;0,001303712;44;-0,1;7;7,1;16280;68975;0;0;69;01-01-2018;1,024681287
269;2018;Aarhus Kommune;0,000778752;9;-0,1;7,2;7,3;340421;64747;0;0;70;01-01-2018;0,612077524
270;2019;Albertslund Kommune;0,00135719;12;-0,1;6,4;6,5;27877;87933;0;0;67;01-01-2019;1,06671355
271;2019;Fredericia Kommune;0;0;-0,1;6,7;6,8;51427;67463;0;0;68;01-01-2019;0
272;2019;Glostrup Kommune;0,003748606;29;-0,1;6,5;6,6;22615;72725;0;0;69;01-01-2019;2,946299339
273;2019;Hvidovre Kommune;0,002208923;29;-0,1;6,7;6,8;53416;76004;0;0;70;01-01-2019;1,736151902
274;2019;Langeland Kommune;0,000447806;6;-0,1;6;6,1;12560;92389;1;1;71;01-01-2019;0,351963087
275;2019;Middelfart Kommune;0,001782995;11;-0,1;6,9;7;38553;64849;0;0;72;01-01-2019;1,401383962
276;2019;Næstved Kommune;0,003794484;122;-0,1;6,7;6,8;82991;63503;0;0;73;01-01-2019;2,982358435
277;2019;Odder Kommune;0,001245999;8;-0,1;6,9;7;22675;59924;0;0;74;01-01-2019;0,979320047
278;2019;Odsherred Kommune;0,001947093;26;-0,1;6,2;6,3;33122;78705;0;0;75;01-01-2019;1,530360411
279;2019;Ringsted Kommune;0,001497227;36;-0,1;6,5;6,6;34725;65449;0;0;76;01-01-2019;1,176778764
280;2019;Skanderborg Kommune;0,003198883;72;-0,1;7,2;7,3;61974;63629;0;0;77;01-01-2019;2,514232626
281;2016;Glostrup Kommune;0,002242139;79;-0,1;6,8;6,9;22461;74607;0;0;65;01-01-2016;1,762258212
282;2016;Norddjurs Kommune;0,001315086;58;-0,1;6,3;6,4;38144;73979;0;0;66;01-01-2016;1,033620983
283;2016;Odsherred Kommune;0,001434275;107;-0,1;6,3;6,4;32816;77314;0;0;67;01-01-2016;1,127300225
284;2017;Frederiksberg Kommune;0,001383932;102;-0,1;7,6;7,7;105037;63991;0;0;70;01-01-2017;1,087732013
285;2017;Frederikssund Kommune;0,002639328;58;-0,1;6,8;6,9;45036;70121;0;0;71;01-01-2017;2,074437611
286;2017;Kalundborg Kommune;0,001321398;65;-0,1;6,3;6,4;48736;68008;0;0;72;01-01-2017;1,038582179
287;2017;Odsherred Kommune;0,00184706;134;-0,1;6,3;6,4;33023;78095;0;0;73;01-01-2017;1,451737566
288;2017;Struer Kommune;0,003592581;72;-0,1;7,1;7,2;21347;66453;1;1;74;01-01-2017;2,823667967
289;2017;Thisted Kommune;0,002395402;14;-0,1;6,8;6,9;43826;64303;1;1;75;01-01-2017;1,882719083
290;2017;Tønder Kommune;0,002659325;97;-0,1;6,3;6,4;37928;64215;0;0;76;01-01-2017;2,090154677
291;2018;Frederiksberg Kommune;0,001329878;157;-0,1;7,6;7,7;104410;67244;0;0;71;01-01-2018;1,045247049
292;2018;Frederikssund Kommune;0,002715122;83;-0,1;7,1;7,2;45189;67857;0;0;72;01-01-2018;2,134009764
293;2018;Rødovre Kommune;0,003688473;103;-0,1;6,8;6,9;39343;80540;0;0;73;01-01-2018;2,899036176
294;2018;Tønder Kommune;0,002117005;61;-0,1;6,3;6,4;37777;65573;0;0;74;01-01-2018;1,663906945
295;2018;Tårnby Kommune;0,002879891;67;-0,1;6,6;6,7;43063;70472;1;0;75;01-01-2018;2,263513341
296;2019;Guldborgsund Kommune;0,001857881;16;-0,1;6,3;6,4;60930;67266;0;0;78;01-01-2019;1,460242661
297;2019;Haderslev Kommune;0,00149165;19;-0,1;6,6;6,7;55857;64027;0;0;79;01-01-2019;1,172394943
298;2019;Lejre Kommune;0,001760084;25;-0,1;7,3;7,4;27775;66926;0;0;80;01-01-2019;1,383376821
299;2019;Rødovre Kommune;0,002489715;24;-0,1;6,8;6,9;40052;78759;0;0;81;01-01-2019;1,956846013
300;2019;Stevns Kommune;0,003157678;40;-0,1;6,8;6,9;22782;57326;1;1;82;01-01-2019;2,481846194
301;2017;Faxe Kommune;0,00174879;52;-0,2;6,4;6,6;35916;60187;0;0;77;01-01-2017;1,374500301
302;2017;Stevns Kommune;0,002902975;99;-0,2;6,4;6,6;22492;52504;1;1;78;01-01-2017;2,28165724
303;2018;Ishøj Kommune;0,00295887;98;-0,2;5,9;6,1;22988;83861;0;0;76;01-01-2018;2,325589222
304;2018;Svendborg Kommune;0,00234088;89;-0,2;6,9;7,1;58698;71508;1;1;77;01-01-2018;1,839866312
305;2019;Holbæk Kommune;0,002937161;52;-0,2;6,4;6,6;71297;59793;1;1;83;01-01-2019;2,308526522
306;2019;Københavns Kommune;0,006025525;92;-0,2;6,9;7,1;623404;66679;0;0;84;01-01-2019;4,735893967
307;2016;Gladsaxe Kommune;0,002936282;144;-0,2;7,1;7,3;67914;65689;0;0;68;01-01-2016;2,307835677
308;2016;Greve Kommune;0,002395913;121;-0,2;6,8;7;49518;63268;0;0;69;01-01-2016;1,883120292
309;2016;Halsnæs Kommune;0,001944553;110;-0,2;6,2;6,4;31049;71624;1;1;70;01-01-2016;1,5283643
310;2016;Holbæk Kommune;0,001925049;98;-0,2;6,6;6,8;69972;60071;1;1;71;01-01-2016;1,513034271
311;2016;Hvidovre Kommune;0,00189354;120;-0,2;6,6;6,8;52831;74035;0;0;72;01-01-2016;1,488269195
312;2016;Kalundborg Kommune;0,001896305;124;-0,2;6,3;6,5;48660;65594;0;0;73;01-01-2016;1,49044268
313;2016;Københavns Kommune;0,003862085;297;-0,2;6,7;6,9;591481;67822;0;0;74;01-01-2016;3,035490504
314;2016;Næstved Kommune;0,00227994;145;-0,2;6,6;6,8;82342;55262;0;0;75;01-01-2016;1,791969228
315;2017;Brøndby Kommune;0,00338543;27;-0,2;6,1;6,3;35594;78387;0;0;79;01-01-2017;2,660853345
316;2017;Dragør Kommune;0,002261727;118;-0,2;7,7;7,9;14288;65691;0;0;80;01-01-2017;1,777654029
317;2017;Fredericia Kommune;0,001794793;17;-0,2;6,6;6,8;50868;61538;0;0;81;01-01-2017;1,410657235
318;2017;Ishøj Kommune;0,001512997;44;-0,2;6;6,2;22719;82063;0;0;82;01-01-2017;1,189173348
319;2017;Læsø Kommune;0,002180268;46;-0,2;5,5;5,7;1793;89715;1;1;83;01-01-2017;1,713629323
320;2018;Egedal Kommune;0,001301337;29;-0,2;7,1;7,3;43000;67713;0;0;78;01-01-2018;1,022814544
321;2018;Gladsaxe Kommune;0,003379235;237;-0,2;7,1;7,3;69484;69693;0;0;79;01-01-2018;2,655983856
322;2018;Greve Kommune;0,00225776;87;-0,2;6,7;6,9;49974;67577;0;0;80;01-01-2018;1,77453615
323;2018;Gribskov Kommune;0,002762061;168;-0,2;6,8;7;41217;68338;1;1;81;01-01-2018;2,170902771
324;2018;Halsnæs Kommune;0,003076415;105;-0,2;6,5;6,7;31168;73002;1;1;82;01-01-2018;2,417976282
325;2018;Helsingør Kommune;0,002501299;322;-0,2;7;7,2;62686;71328;0;0;83;01-01-2018;1,965951041
326;2018;Holbæk Kommune;0,002099224;99;-0,2;6,6;6,8;70983;58667;1;1;84;01-01-2018;1,649930932
327;2018;Høje-Taastrup Kommune;0,00294677;97;-0,2;6,2;6,4;50596;74946;0;0;85;01-01-2018;2,316078764
328;2018;Odsherred Kommune;0,002490289;130;-0,2;6,3;6,5;33083;79033;0;0;86;01-01-2018;1,957297738
329;2018;Sorø Kommune;0,003723626;135;-0,2;6,7;6,9;29669;62816;0;0;87;01-01-2018;2,92666552
330;2018;Thisted Kommune;0,002180548;115;-0,2;6,5;6,7;43716;66638;1;1;88;01-01-2018;1,713849361
331;2019;Frederikssund Kommune;0,002691294;38;-0,2;6,8;7;45332;69504;0;0;85;01-01-2019;2,115281764
332;2019;Hillerød Kommune;0,001194901;17;-0,2;7,3;7,5;50998;74812;1;1;86;01-01-2019;0,939158998
333;2019;Ishøj Kommune;0,001839664;18;-0,2;5,7;5,9;22946;85951;0;0;87;01-01-2019;1,44592452
334;2019;Nyborg Kommune;0,003904754;37;-0,2;6,3;6,5;32042;61396;0;0;88;01-01-2019;3,069027128
335;2019;Samsø Kommune;0,000718971;17;-0,2;5,8;6;3684;81126;0;0;89;01-01-2019;0,56509122
336;2019;Tårnby Kommune;0,000902635;8;-0,2;6,6;6,8;42984;68575;1;0;90;01-01-2019;0,709445848
337;2016;Albertslund Kommune;0,002998038;38;-0,3;6,2;6,5;27880;79855;0;0;76;01-01-2016;2,356373718
338;2016;Fredericia Kommune;0,001784929;33;-0,3;6,7;7;50689;59575;0;0;77;01-01-2016;1,402903872
339;2016;Frederikssund Kommune;0,001765449;37;-0,3;6,8;7,1;44725;68446;0;0;78;01-01-2016;1,387593601
340;2016;Helsingør Kommune;0,003676861;264;-0,3;7;7,3;62092;68317;0;0;79;01-01-2016;2,889909428
