"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"356";2017;"Helsingør Kommune";0,00183283688986654;-0,300000000000001;7,1;7,4;62443;71916;0;0;87;"01-01-2017";1,57219387301628
"357";2017;"Langeland Kommune";0,000615812478666986;-0,300000000000001;6,1;6,4;12578;91634;1;1;88;"01-01-2017";0,52823937102101
"358";2018;"Albertslund Kommune";0,00209198903525181;-0,300000000000001;6,1;6,4;27743;83716;0;0;92;"01-01-2018";1,79449265879826
"359";2017;"Lolland Kommune";0;-0,399999999999999;5,7;6,1;42285;67930;0;0;89;"01-01-2017";0
"360";2018;"Langeland Kommune";0,000769862068927188;-0,399999999999999;5,9;6,3;12641;96887;1;1;93;"01-01-2018";0,660381965534913
"361";2016;"Gribskov Kommune";0,00278775761495378;-0,4;6,6;7;41107;61034;1;1;83;"01-01-2016";2,39131777951281
"362";2016;"Sorø Kommune";0,00212823869812661;-0,4;6,5;6,9;29543;60955;0;0;84;"01-01-2016";1,82558735041308
"363";2018;"Fanø Kommune";0,00277273701800624;-0,4;6,3;6,7;3401;69491;1;1;94;"01-01-2018";2,37843322299797
"364";2016;"Samsø Kommune";0,000974202235054692;-0,5;5,4;5,9;3710;74411;0;0;85;"01-01-2016";0,835663442557227
"365";2017;"Vordingborg Kommune";0,00490400685744072;-0,5;6,1;6,6;46037;62062;1;1;90;"01-01-2017";4,20662066391491
"366";2018;"Glostrup Kommune";0,00171305973837114;-0,5;6,3;6,8;22663;75819;0;0;95;"01-01-2018";1,46944992195901
"367";2018;"Kalundborg Kommune";0,00236605425719868;-0,5;6;6,5;48982;69771;0;0;96;"01-01-2018";2,02958377090649
"368";2018;"Morsø Kommune";0,00258822652438162;-0,5;6,1;6,6;20514;68923;0;0;97;"01-01-2018";2,22016149178846
"369";2019;"Vordingborg Kommune";0,00301902497631725;-0,5;5,9;6,4;45816;67347;1;1;97;"01-01-2019";2,58969720464036
