"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"132";2017;"Frederikshavn Kommune";0,000985903200843731;0,0999999999999996;6,8;6,7;60356;66731;0;0;31;"01-01-2017";0,845700444116727
"133";2017;"Rebild Kommune";0,00201631665258824;0,0999999999999996;7,5;7,4;29391;60332;0;0;32;"01-01-2017";1,72958145091174
"134";2017;"Skanderborg Kommune";0,00155613341936914;0,0999999999999996;7,5;7,4;60401;62136;0;0;33;"01-01-2017";1,33483969089371
"135";2017;"Syddjurs Kommune";0,00247165402343584;0,0999999999999996;7,1;7;42021;67402;1;1;34;"01-01-2017";2,1201664661741
"136";2017;"Tårnby Kommune";0,000745321947214897;0,0999999999999996;7;6,9;43010;68811;1;0;35;"01-01-2017";0,639331631371273
"137";2017;"Vesthimmerlands Kommune";0,00198557362293235;0,0999999999999996;6,8;6,7;37285;65464;1;1;36;"01-01-2017";1,70321030837845
"138";2017;"Ærø Kommune";0,000708416244731008;0,0999999999999996;7,1;7;6177;60492;1;0;37;"01-01-2017";0,607674193851692
"139";2017;"Aabenraa Kommune";0,00170452850504168;0,0999999999999996;6,8;6,7;59003;65407;0;0;38;"01-01-2017";1,4621318933641
"140";2018;"Ballerup Kommune";0,00187411256077752;0,0999999999999996;7,3;7,2;48295;79247;0;0;33;"01-01-2018";1,60759983700013
"141";2018;"Esbjerg Kommune";0,000741910831310001;0,0999999999999996;7;6,9;116032;64247;1;0;34;"01-01-2018";0,636405601479865
